SKU,Release Date,Shoe Type,Shoe Name,Price,Image Link
DQ8571-001,Released,Air Force 1,Off Noir,$130,https://secure-images.nike.com/is/image/DotCom/DQ8571_001_E_PREM?$SNKRS_COVER_WD$&align;
DM6443-001,3/31,Blazer Low x sacai,Black Patent Leather,$120,https://secure-images.nike.com/is/image/DotCom/DM6443_001_E_PREM?$SNKRS_COVER_WD$&align;
DM6443-100,3/31,Blazer Low x sacai,White Patent Leather,$120,https://secure-images.nike.com/is/image/DotCom/DM6443_100_E_PREM?$SNKRS_COVER_WD$&align;
DD3357-100,4/1,Dunk Low,Halloween,$110,https://secure-images.nike.com/is/image/DotCom/DD3357_100_E_PREM?$SNKRS_COVER_WD$&align;
CJ9179-200,4/1,Air Force 1,Flax,$130,https://secure-images.nike.com/is/image/DotCom/CJ9179_200_E_PREM?$SNKRS_COVER_WD$&align;
DO2154-010,4/1,Women’s Air Max 90,Siempre Familia,$130,https://secure-images.nike.com/is/image/DotCom/DO2154_010_E_PREM?$SNKRS_COVER_WD$&align;
CU8067-500,4/1,Air Force 1,Purple Skeleton,$130,https://secure-images.nike.com/is/image/DotCom/CU8067_500_E_PREM?$SNKRS_COVER_WD$&align;
BQ4422-400,4/2,Air Jordan 1 High '85,College Navy,$200,https://secure-images.nike.com/is/image/DotCom/BQ4422_400_E_PREM?$SNKRS_COVER_WD$&align;
DH7722-001,4/5,SB Dunk Low,Polaroid,$120,https://secure-images.nike.com/is/image/DotCom/DH7722_001_E_PREM?$SNKRS_COVER_WD$&align;
DR7855-100,4/6,Women's Dunk High,FLS,$120,https://secure-images.nike.com/is/image/DotCom/DR7855_100_E_PREM?$SNKRS_COVER_WD$&align;
DQ8581-100,4/7,Women's Dunk High,Vintage Black,$125,https://secure-images.nike.com/is/image/DotCom/DQ8581_100_E_PREM?$SNKRS_COVER_WD$&align;
DH7863-100,4/8,Blazer Low x Off-White™,White and University Red,$140,https://secure-images.nike.com/is/image/DotCom/DH7863_100_E_PREM?$SNKRS_COVER_WD$&align;
DH7863-001,4/8,Blazer Low x Off-White™,Black and Electro Green,$140,https://secure-images.nike.com/is/image/DotCom/DH7863_001_E_PREM?$SNKRS_COVER_WD$&align;
DC7501-300,4/9,Air Jordan 5,Jade,$200,https://secure-images.nike.com/is/image/DotCom/DC7501_300_E_PREM?$SNKRS_COVER_WD$&align;
DA1446-401,4/12,Nike Retro GTS,Boarder Blue and Magma Orange,$65,https://secure-images.nike.com/is/image/DotCom/DA1446_401_E_PREM?$SNKRS_COVER_WD$&align;
DQ8574-001,4/13,Air Max 97,Off Noir,$200,https://secure-images.nike.com/is/image/DotCom/DQ8574_001_E_PREM?$SNKRS_COVER_WD$&align;
DH7577-001,4/15,Dunk Low,Fossil Rose,$110,https://secure-images.nike.com/is/image/DotCom/DH7577_001_E_PREM?$SNKRS_COVER_WD$&align;